n_consumers,cdf_value,J,q_capacity,MC,coeff_true,X_1
100,5e-06,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
99,5e-06,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
98,6e-06,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
97,1.5e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
96,2.1e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
95,2.7e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
94,5.3e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
93,6.7e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
92,9.7e-05,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
91,0.000136,50,4,1000000,[2],"[0.9247771869203956, 0.7970379900096265, 0.7609521409367161, 0.8012547380985722, 0.7765157186190664, 0.9318100359211137, 0.9198501308812854, 0.8684614258520547, 0.8620739561200761, 0.7547767369681165, 0.9381495843021448, 0.9006121347520316, 0.9904443938270474, 0.9160921618391189, 0.901657404829669, 0.8622878287329291, 0.8063385407981739, 0.9175435742231739, 0.9339416481129783, 0.8144989095195484, 0.7738855384650913, 0.9902274355591694, 0.8129418216920028, 0.8205412798609109, 0.9420634836656963, 0.9494808492787459, 0.886009299600104, 0.8456769076616605, 0.8454127375504993, 0.8214568471192958, 0.9350670382851644, 0.8097467081089322, 0.8594304261624659, 0.9708846756941465, 0.8223202850831794, 0.9461267142718552, 0.9397384141933975, 0.8544463462336084, 0.8064421918990208, 0.8550245347326496, 0.7660909227203179, 0.8991081717302492, 0.9593309305777076, 0.9731215965822637, 0.8001318609708067, 0.8755988085913224, 0.9738454611153189, 0.8139802328470677, 0.9668080857415726, 0.7541219837041577]"
